depth_A,C,La,Ni
22.598510907030356,0.0,1.0,1.0
22.798497729216464,0.0,1.0,1.0
22.998484551402573,0.0,1.0,1.0
23.19847137358868,0.0,1.0,1.0
23.398458195774793,0.0,1.0,1.0
23.598445017960902,0.0,1.0,1.0
23.79843184014701,0.0,1.0,1.0
23.99841866233312,0.0,1.0,1.0
24.198405484519228,0.0,1.0,1.0
24.39839230670534,0.0,1.0,1.0
24.598379128891448,0.0,1.0,1.0
24.798365951077557,0.0,1.0,1.0
24.998352773263665,0.0,1.0,1.0
25.198339595449777,0.0,1.0,1.0
25.398326417635886,0.0,1.0,1.0
25.598313239821994,0.0,1.0,1.0
25.798300062008103,0.0,1.0,1.0
25.99828688419421,0.0,1.0,1.0
26.198273706380323,0.0,1.0,1.0
26.398260528566432,0.0,1.0,1.0
26.59824735075254,0.0,1.0,1.0
26.79823417293865,0.0,1.0,1.0
26.99822099512476,0.0,1.0,1.0
27.19820781731087,0.0,1.0,1.0
27.398194639496978,0.0,1.0,1.0
27.598181461683087,0.0,1.0,1.0
27.798168283869195,0.0,1.0,1.0
27.998155106055307,0.0,1.0,1.0
28.198141928241416,0.0,1.0,1.0
28.398128750427524,0.0,1.0,1.0
28.598115572613633,0.0,1.0,1.0
28.798102394799745,0.0,1.0,1.0
28.998089216985854,0.0,1.0,1.0
29.198076039171962,0.0,1.0,1.0
29.39806286135807,0.0,1.0,1.0
29.598049683544183,0.0,1.0,1.0
29.79803650573029,0.0,1.0,1.0
29.9980233279164,0.0,1.0,1.0
30.0,0.0,1.0,1.0
