evaluation,objective,reflectivity_raw,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset
3.600000000000000000e+01,3.553667535976008374e-01,3.553667535976008374e-01,3.553667535976008374e-01,1.587024200009182096e+00,1.572147600003518164e+00,0.000000000000000000e+00,5.010000313632190228e-05,1.481439999770373106e-02,2.223594831635400624e+02,1.656933632447798033e+01,1.716173312103784809e+01,1.531126382102504513e+00,1.234193836503257868e+00,2.527114865496143992e+01,1.718053986954826584e+01,4.781362377109774187e+00,4.096134624565282323e+00,2.884293649111705271e+00,4.689573118340217839e+00,3.306142945812135192e+00,3.493505343735594071e+00,9.663234772045170562e-03
3.700000000000000000e+01,6.247434848701022281e-01,6.247434848701022281e-01,6.247434848701022281e-01,1.583845300017856061e+00,1.566787000017939135e+00,0.000000000000000000e+00,4.470002022571861744e-05,1.700510000227950513e-02,1.671836169902225606e+02,1.829229218664475454e+01,1.719533807374476808e+01,2.889935344535565775e+00,2.493724124699290723e+00,3.160303795357375733e+01,9.189121892626561205e+00,4.001129738295675864e+00,4.625013914868229215e+00,2.572163112070517066e+00,3.084097246693846550e+00,3.576720311416180742e+00,4.917645011502399299e+00,-1.108346438132271072e-01
3.800000000000000000e+01,1.004442723144343796e+00,1.004442723144343796e+00,1.004442723144343796e+00,1.617554299999028444e+00,1.601649699994595721e+00,0.000000000000000000e+00,4.009998519904911518e-05,1.585369999520480633e-02,2.398271605459282227e+02,1.757054707177337605e+01,1.768187823100000600e+01,2.501403027523087630e+00,2.736319876380305161e+00,1.859349169024633852e+01,1.238175470803333589e+01,3.862936499564467496e+00,3.899834895120891876e+00,2.549170283656749358e+00,4.406693489732488089e+00,2.462285936393646679e+00,3.713493912419769227e+00,1.900747139906606153e-01
3.900000000000000000e+01,7.803923619904802322e-01,7.803923619904802322e-01,7.803923619904802322e-01,1.684383400017395616e+00,1.657370500004617497e+00,0.000000000000000000e+00,5.890001193620264530e-05,2.694250000058673322e-02,2.337147561290236695e+02,1.755464643622706689e+01,1.850000000000000000e+01,1.257046795635624825e+00,1.846411506102773270e+00,4.895502592574070277e+00,1.147528666196453884e+01,2.680214904851309310e+00,4.660751486645789754e+00,3.420385787740400474e+00,4.445232417299925132e+00,4.191060625325052413e+00,4.307794371671683109e+00,-1.076881843318962251e-01
4.000000000000000000e+01,4.396670965205969894e-01,4.396670965205969894e-01,4.396670965205969894e-01,1.546571199985919520e+00,1.525127899978542700e+00,0.000000000000000000e+00,4.430001717992126942e-05,2.138920000288635492e-02,2.210345863655620064e+02,1.711713297219647600e+01,1.660691168376436622e+01,3.423389959896086521e-01,1.380879849499190293e-01,3.900000000000000000e+01,1.886810178381586312e+01,4.777006586882573735e+00,3.836016012618675752e+00,3.097317111405963885e+00,4.929750083400604055e+00,3.677120574774306760e+00,1.103697339837460101e+00,-1.089864528536811095e-01
4.100000000000000000e+01,2.026705100154386763e-01,2.026705100154386763e-01,2.026705100154386763e-01,1.503213999996660277e+00,1.490755600010743365e+00,0.000000000000000000e+00,5.719999899156391621e-05,1.239230000646784902e-02,1.712978557550713958e+02,1.757703707900952850e+01,1.641040901125866469e+01,1.143375547397865510e+00,1.158464647929601521e-01,2.166972323264884182e+01,1.760655027498701486e+01,4.317264831566610894e+00,3.467132233972061606e+00,2.402471441778968764e+00,3.969492486282056198e+00,4.239382142911764184e+00,4.696778772548461767e+00,1.275806171946485823e-01
4.200000000000000000e+01,4.523755317880530091e-01,4.523755317880530091e-01,4.523755317880530091e-01,1.496669199987081811e+00,1.476050500001292676e+00,0.000000000000000000e+00,5.019997479394078255e-05,2.055960000143386424e-02,1.859786265295342389e+02,1.510518131362993088e+01,1.629069214682738931e+01,2.639920013412657251e+00,2.772079369990843034e+00,2.455246138410288825e+00,1.372445375374345744e+01,5.000000000000000000e+00,4.820364386296398074e+00,3.937840320948088557e+00,4.733548944788854129e+00,4.931405003096370976e+00,1.846724274809826927e+00,-8.863350000091640979e-02
4.300000000000000000e+01,2.506578710091698636e-01,2.506578710091698636e-01,2.506578710091698636e-01,1.500769100006436929e+00,1.483138499985216185e+00,0.000000000000000000e+00,5.319999763742089272e-05,1.756740000564604998e-02,2.207748257551788242e+02,1.688575274457409137e+01,1.654903871218076716e+01,1.741086965262539921e-01,2.230012065285442269e+00,3.001379441271138404e+01,1.060573418463459916e+01,5.000000000000000000e+00,4.199658006801884724e+00,4.233397558700414898e+00,3.055335300587228353e+00,4.777506356997923476e+00,1.745971078700136125e+00,2.999999999999999889e-01
4.400000000000000000e+01,3.411234859602680913e-01,3.411234859602680913e-01,3.411234859602680913e-01,1.542877299973042682e+00,1.529086199996527284e+00,0.000000000000000000e+00,5.649999366141855717e-05,1.372469999478198588e-02,1.723019320238851151e+02,1.536983910739646575e+01,1.579700441878311068e+01,1.606854137698114027e+00,1.853881341834697771e+00,0.000000000000000000e+00,1.880702558333899432e+01,4.887792833709005080e+00,2.150279532160140228e+00,4.798228068778739086e+00,2.961770173312648247e+00,3.294567646842499364e+00,1.867579437604676373e+00,4.120112877568737897e-02
4.500000000000000000e+01,2.496729908498947215e-01,2.496729908498947215e-01,2.496729908498947215e-01,1.443141499999910593e+00,1.417297599982703105e+00,0.000000000000000000e+00,7.569999434053897858e-05,2.574389998335391283e-02,1.685565491721398246e+02,1.443636866195215696e+01,1.576794052950163305e+01,2.160763906826035807e+00,2.241572249997263899e+00,0.000000000000000000e+00,1.421505245429462150e+01,1.119114910110904360e+00,4.568181729248165901e+00,4.730582014947414926e+00,4.098808791621218361e+00,3.451941984427222554e+00,1.350802277779087124e+00,1.693328627607195158e-01
