evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,rc_angle_offset
3.100000000000000000e+01,1.019235987276137512e-02,4.096837503162970365e-03,1.084542013772208822e-03,1.630105026621088112e-03,2.048418751581485182e-03,3.253626041316626250e-03,4.890315079863264552e-03,7.234502199979033321e+00,0.000000000000000000e+00,7.147571999987121671e+00,8.719999459572136402e-05,8.681889998842962086e-02,2.388471715761891403e+02,1.365568658491094567e+01,1.502419903384649125e+01,8.305895977138615383e-01,1.767477683685000134e+00,1.619289950840215431e+00,1.384766337887768728e+01,1.056495638745121646e+00,3.372513384505989809e+00,4.857312256930912397e+00,4.653532869934898564e+00,2.996912572858245305e+00,3.108883761146651992e+00,2.456308380823246651e-02
3.200000000000000000e+01,8.501006325903377389e-03,3.371634750090301159e-03,8.759794839882022004e-04,1.395750166297873547e-03,1.685817375045150579e-03,2.627938451964606601e-03,4.187250498893620859e-03,6.183775699988473207e+00,0.000000000000000000e+00,6.124801900004968047e+00,9.220000356435775757e-05,5.886580000515095890e-02,1.536900678022945215e+02,1.349025035344196155e+01,1.570199732181889729e+01,3.644204294896892515e-02,1.332493308420442890e+00,3.815962257035329230e+01,6.768483030176048132e+00,4.117873707052028820e+00,3.784328579259529146e+00,2.850311132079737853e+00,2.537111803481377770e+00,2.709071269689458106e+00,4.336164534248737823e+00,1.694075526441571333e-01
3.300000000000000000e+01,1.407511366161946428e-02,7.321926241408470773e-03,1.386047005207408783e-03,2.085336508431000994e-03,3.660963120704235386e-03,4.158141015622226350e-03,6.256009525293003415e-03,7.520824200008064508e+00,0.000000000000000000e+00,7.465139799984171987e+00,1.041000068653374910e-04,5.556300000171177089e-02,2.437585190825466839e+02,1.494709800138839739e+01,1.806790411068548963e+01,2.950999192521484460e+00,2.391954020196322084e+00,1.336766893520900545e+01,1.049513435007018103e+00,2.015523725853368475e+00,4.868687473599701221e+00,2.110500193441272376e+00,3.331755183575258350e+00,3.361074024073866795e+00,1.786750479104272094e+00,1.469153585757125846e-01
3.400000000000000000e+01,1.257085356485956006e-02,6.088368897149296945e-03,1.277065600819582642e-03,1.898490771275387814e-03,3.044184448574648472e-03,3.831196802458748142e-03,5.695472313826163008e-03,7.207025500014424324e+00,0.000000000000000000e+00,7.101289699989138171e+00,1.481999934185296297e-04,1.055694000096991658e-01,1.530289295163424299e+02,1.634776312599448644e+01,1.332928444226302034e+01,1.859821422229961385e+00,2.467448296436103750e+00,9.926186179113180685e+00,2.833928616886197460e+00,1.161288720491713278e+00,2.203184266831753835e+00,4.856015314761801704e+00,3.209916028619400841e+00,2.803063451211150081e+00,1.312193979596168347e+00,-5.003076297008432483e-02
3.500000000000000000e+01,9.696431646125831805e-03,3.744107109876407876e-03,1.027028987519874176e-03,1.581097042876001635e-03,1.872053554938203938e-03,3.081086962559622527e-03,4.743291128628005122e-03,7.289871299988590181e+00,0.000000000000000000e+00,7.221775199985131621e+00,6.550000398419797421e-05,6.800880000810138881e-02,2.146113727989629183e+02,1.522862491437070531e+01,1.368442353113792365e+01,8.597126015017302336e-01,6.347748377641672379e-02,1.976519391481872612e+00,9.810961959039710578e+00,2.546705806271587491e+00,2.753275642028329528e+00,2.001651037863857230e+00,3.836606756288224673e+00,4.955093082760879675e+00,2.000214522721498689e+00,-2.456114740151150166e-01
3.600000000000000000e+01,8.400433884853668320e-03,3.275680095702416909e-03,8.694863583759907108e-04,1.384711587291495658e-03,1.637840047851208455e-03,2.608459075127972024e-03,4.154134761874487408e-03,6.466692200017860159e+00,0.000000000000000000e+00,6.415993799979332834e+00,1.021999923978000879e-04,5.057790002319961786e-02,2.264319608541960065e+02,1.470186474189781833e+01,1.314361581197680451e+01,3.460591036155370205e-03,2.608040759571859102e+00,2.960751831688216740e+01,1.159590232122630482e+01,1.234968051818173151e+00,4.422404219730855068e+00,2.656539569842443882e+00,2.962484204878789829e+00,2.875013902599531157e+00,3.091449300207907314e+00,-2.068534186928814300e-01
3.700000000000000000e+01,4.322737435458277183e-03,2.684460375798840889e-03,4.789958576678416584e-04,5.145065581851104072e-04,1.342230187899420444e-03,1.436987573003525084e-03,1.543519674555331221e-03,6.298297000001184642e+00,0.000000000000000000e+00,6.234439599997131154e+00,3.619998460635542870e-05,6.380649999482557178e-02,1.552014732190219490e+02,1.492894149526840231e+01,1.579211937431794155e+01,2.986115889643564891e+00,1.988080103117615183e+00,1.899431552157279990e+00,1.898129730609023014e+01,2.709103539458009191e+00,3.078152456627446298e+00,2.776245847740204997e+00,3.656184900350464950e+00,3.318023363326509045e+00,3.245476148333278132e+00,2.868762689894138740e-02
3.800000000000000000e+01,1.548002215752007117e-02,7.290819968734243463e-03,1.738570247458792869e-03,2.206300476925523828e-03,3.645409984367121731e-03,5.215710742376378391e-03,6.618901430776571483e-03,7.597082600026624277e+00,0.000000000000000000e+00,7.567898699984652922e+00,8.050000178627669811e-05,2.909429999999701977e-02,2.022391643546532976e+02,1.804353446098608060e+01,1.512189024096992540e+01,2.907342131046125822e+00,1.578050531873747886e+00,1.480375412179746678e-02,2.500348461946754419e+00,1.200262360489765978e+00,3.361430926909701355e+00,2.763398977955564995e+00,2.137454074661895298e+00,2.776463965978090531e+00,3.053427061594334191e+00,6.454622394429443411e-02
3.900000000000000000e+01,9.915710362390790442e-03,3.854384794781866817e-03,1.054862648376997001e-03,1.607976673289622082e-03,1.927192397390933409e-03,3.164587945130990787e-03,4.823930019868865812e-03,6.370845199999166653e+00,0.000000000000000000e+00,6.310728399985237047e+00,6.849999772384762764e-05,6.003049999708309770e-02,2.128045951758166439e+02,1.384168592385494279e+01,1.343122337996497784e+01,2.980043664267059356e+00,2.469262592608043316e-01,1.792422281272724738e-01,8.367500689917100942e+00,1.821051512679727757e+00,4.019619930871743740e+00,2.809921088534374611e+00,4.075876116256740289e+00,2.723116016633488012e+00,4.157936478255017221e+00,-2.406564118563213339e-01
4.000000000000000000e+01,6.024881368177713303e-03,3.128059662309259394e-03,6.483118567586828185e-04,8.386386555823450864e-04,1.564029831154629697e-03,1.944935570276048456e-03,2.515915966747035368e-03,7.187882799975341186e+00,0.000000000000000000e+00,7.124344999989261851e+00,8.170001092366874218e-05,6.343609999748878181e-02,1.621142221562188581e+02,1.549347882261271714e+01,1.651049193200675091e+01,1.062213695610639608e+00,2.680463928908050519e+00,7.622671175590539860e+00,5.010363491564366001e+00,1.099227640493734448e+00,2.012569175197387761e+00,3.663064137367980422e+00,2.472709324884922566e+00,4.237104472551386891e+00,4.537844294433893033e+00,-1.207397820787129705e-01
