dataset,angle_deg,calculation_angle_deg,experimental,fitted
Ni 3p,13.06,13.357434551259379,1.036807214892103,0.9918898935684222
Ni 3p,13.1,13.397434551259378,1.0280102631049297,0.9933007972338332
Ni 3p,13.14,13.43743455125938,1.0380565977102785,0.9975519481043333
Ni 3p,13.18,13.477434551259378,1.0428128054771437,1.0032716020644812
Ni 3p,13.22,13.51743455125938,1.0494953659571198,1.0079814165901542
Ni 3p,13.26,13.557434551259378,1.0586638124934464,1.009759684533005
Ni 3p,13.3,13.59743455125938,1.0480496560273724,1.0088551951105629
Ni 3p,13.34,13.637434551259378,1.0596511719378447,1.008138469587478
Ni 3p,13.38,13.67743455125938,1.056817113244911,1.011836247360902
Ni 3p,13.42,13.717434551259378,1.0656179155496648,1.023010302342866
Ni 3p,13.46,13.75743455125938,1.0801871692414406,1.0411524542742965
Ni 3p,13.5,13.797434551259379,1.106129406108663,1.0614333030329468
Ni 3p,13.54,13.837434551259378,1.1244914474495202,1.0763097887113864
Ni 3p,13.58,13.877434551259379,1.125188961916573,1.078822305805718
Ni 3p,13.620000000000001,13.91743455125938,1.1267722810733538,1.06589688052108
Ni 3p,13.66,13.957434551259379,1.075829732814,1.039956308878005
Ni 3p,13.7,13.997434551259378,1.031145435522153,1.0080653377315325
Ni 3p,13.74,14.037434551259379,0.99607622634193,0.9790729028243301
Ni 3p,13.780000000000001,14.07743455125938,0.966718649355739,0.9601106333936744
Ni 3p,13.82,14.117434551259379,0.9509698697665332,0.954010831863361
Ni 3p,13.86,14.157434551259378,0.9688679211119459,0.9587203559743664
Ni 3p,13.9,14.197434551259379,0.9753073028424616,0.9688521332841186
Ni 3p,13.94,14.237434551259378,0.9858327039589748,0.978521275020292
Ni 3p,13.98,14.277434551259379,0.9960963767157279,0.9840132898479121
Ni 3p,14.02,14.317434551259378,1.007440506861203,0.9849791773673566
Ni 3p,14.06,14.357434551259379,1.0113313609939323,0.9837244982598607
Ni 3p,14.1,14.397434551259378,1.0015199006100532,0.9832503932389896
Ni 3p,14.14,14.43743455125938,0.9916546500559882,0.9853229172224011
Ni 3p,14.18,14.477434551259378,0.9895241701239135,0.9896430573232263
